query_name,query_title,query_company,profile_link,confidence_score
Gerhard Pilcher,CEO,Elder Research,https://www.linkedin.com/in/gerhard-pilcher,4
Julie Elmore,CTO,Global Payments,https://www.linkedin.com/in/olivia-verret,4
Rosalia Tungaraza,"AVP, Artificial Intelligence",Baptist Health South Florida,https://www.linkedin.com/in/rosalia-tungaraza-ph-d-1150647,3
Krish Das,"VP, Enterprise Data Officer",Ulta Beauty,https://www.linkedin.com/in/krishdas,3
Anqi Zou,Head of Fair & Responsible Banking Analytics,Truist,https://www.linkedin.com/in/anqizou,3
Jan Zirnstein,Senior Director of Data Science,Honeywell,https://www.linkedin.com/in/janzirnstein,3
Varun Tottempudi,Head of Data & Platforms Engineering – Global Analytics,Lockton,https://www.linkedin.com/in/jaya-chandra-reddy-yeddula-594615b6,3
Frances Boykin,"Director, Advanced Analytics",AT&T,https://www.linkedin.com/in/dr-frances-boykin,3
Amit Dingare,Chief Artificial Intelligence Officer,PRGX,https://www.linkedin.com/in/amitdingare,4
Ahmad Haider,"Senior Director, Data and Advanced Analytics",Vertex,https://www.linkedin.com/in/ahmad-haider-phd-0a792b5,3
Richard Campbell,Director of Commercial Analytics,UPS,https://www.linkedin.com/in/rfc20,3
Nicole Thomas,Marketing Transformation Director,Clorox,https://www.linkedin.com/in/nicole-thomas-8210056,1
Reggie Harper,"Director, BI & Analytics",Martin Marietta,https://www.linkedin.com/in/reggie-harper-44109213,1
Monique Wooten,"Vice President, Business Intelligence",CARFAX,https://www.linkedin.com/in/monique-wooten-9141a41a3,1
Nick Yaitsky,"VP, Chief AI Officer & Head of Enterprise Architecture",Wellstar Health System,https://www.linkedin.com/in/nickyaitsky,3
Brandi Kelly,Market Director of Revenue Strategy,Marriott International,https://www.linkedin.com/in/brandiakelly,1
Kenneth Viciana,"VP, Global Data & Analytics Products",TSYS,https://www.linkedin.com/in/kennethviciana,3
Kartik Pillai,"Director, Data Analytics",Yum!,https://www.linkedin.com/in/kartik-pillai-093381198,1
Gopi Jayaprakash,"Vice President, Financial Data Analytics",U.S. Bank,https://www.linkedin.com/in/gopi-jayaprakash-250a907b,1
Gabriel Charvat,"VP, Data Quality Insights",Dun & Bradstreet,https://www.linkedin.com/in/gabriel-charvat-he-him-a539937,3
Dnyanesh Prabhu,"Sr Director, Gen AI",Travelers,https://www.linkedin.com/in/dnyanesh-prabhu-9b34a312,3
Dinakar Potu,"SVP, Director",Truist,https://www.linkedin.com/in/dinakar-potu-7250015,3
Darrell Golliher,Sr. Director,CNN,https://www.linkedin.com/in/golliher,1
Chirag Patel,Sr. Director – AI Solutions Business Partner,CSL Behring,https://www.linkedin.com/in/pchirag,3
Bob Speakman,"VP, Chief Technology Officer",Wellstar Health System,https://www.linkedin.com/in/bobspeakman,3
Ashok Shenoy,CAO – Investment Analytics,BNY,https://www.linkedin.com/in/ashokshenoy,3
Amith Ganesan,"Director, Enterprise Systems",Mandarin Oriental The Hotel Group,https://www.linkedin.com/in/amithganesan,1
David Balboa,"Sr. Director, QMS and Analytics",Pfizer,https://www.linkedin.com/in/david-balboa-01a4327,3
Ellie Magnant,Sr. Director of Data Science,Travelers,https://www.linkedin.com/in/ellie-magnant,4
Ganesh Ariyur,Head of Enterprise Technology Transformation,Gainwell,https://www.linkedin.com/in/ganeshariyur,3
Giang Do,"Director, Customer 360",IHG Hotels & Resorts,https://www.linkedin.com/in/giang-do,1
Jacob Kosoff,Data Science Executive,Bank of America,https://www.linkedin.com/in/jacob-kosoff,3
Joshua Dick,"VP, Pricing and Analytics",Rentokil Terminix,https://www.linkedin.com/in/joshua-dick-89ab7b6,1
Justin Ji,"Sr Manager, Customer Listening and Analytics",Delta,https://www.linkedin.com/in/jujipotle,1
Kishen Jayanti,"Senior Manager, Marketing Analytics & Science",The Home Depot,https://www.linkedin.com/in/kishenjayanti,3
Kevin Zhang,Director of Data Science,Corpay,https://www.linkedin.com/in/kevin-zhang-14b71b107,2
Markus Shipley,"Director, Data and Digital Services",RSM,https://www.linkedin.com/in/shipleymark,3
Swati Singh,Digital Transformation – HR Data Integrity,Norfolk Southern,https://www.linkedin.com/in/swatisingh1309,1
Matthew Jacoby,"Executive Director, Enterprise Analytics + Data Science",RaceTrac,https://www.linkedin.com/in/matthew-jacoby-52803493,1
Meet Patel,"Global Senior Director, Advanced Analytics",Kellanova,https://www.linkedin.com/in/meetspatel,3
Prashanthi Nuthi,Director,Kenvue,https://www.linkedin.com/in/prashanthinuthi,3
Naga Eskala,Director of Data Science & AI,Elevance Health,https://www.linkedin.com/in/naga-eskala-a326173,3
Olivier Brauen,VP,Michelin,https://www.linkedin.com/in/olivier-brauen,3
Pam Pye,Chief Client Officer,Equifax,https://www.linkedin.com/in/pam-pye-67a431,3
Pankaj Baishya,Lead Solution Architect,Amdocs,https://www.linkedin.com/in/pankajbaishya,3
Prasanna Mahadevan,"Sr. AD, Reporting & Analytics",Boehringer Ingelheim,https://www.linkedin.com/in/prasanna-mahadevan-715960a,3
Russ Johnson,Director – BI Projects,Piedmont Healthcare,https://www.linkedin.com/in/russwjohnson,3
Sameer Goyal,"Director, Data Analytics and Software Engineering",Americold,https://www.linkedin.com/in/sameer-goyal-3a22143,3
Stephanie Songaila,Head of Innovation,Norton Rose Fulbright,https://www.linkedin.com/in/stephanie-songaila,4
Shireesh Mishra,"Director, Head of Analytics, Citi Retailer Services",Citi,https://www.linkedin.com/in/shireeshmishra,3
Will Mcginnis,"Executive Director, Head of AI Alumni",JPMorgan Chase,https://www.linkedin.com/in/wmcginnis,3
Yash Upadhyay,"VP, Data, Technology and Innovation",Prudential,https://www.linkedin.com/in/yashup,1
Michael Guo,Sr Director of AI and Data Platform,Dematic,https://www.linkedin.com/in/mikeguo,1
